Real,Imaginary
-0.00851462,-0.0173955
-0.00851462,-0.0173955
-0.00833151,-0.0173039
-0.00845358,-0.0173955
-0.00845358,-0.0173955
-0.00857566,-0.0174565
-0.00851462,-0.0173344
-0.00851462,-0.0171208
-0.00857566,-0.0170903
-0.00854514,-0.017487
-0.00872825,-0.0172429
-0.00860617,-0.0172123
-0.00839255,-0.0172429
-0.00872825,-0.0172429
-0.00863669,-0.0175786
-0.00839255,-0.0169682
-0.00842306,-0.0171818
-0.0084841,-0.0172429
-0.00866721,-0.0173649
-0.00845358,-0.017487
-0.00854514,-0.0173344
-0.00875877,-0.0175786
-0.00842306,-0.0173344
-0.00833151,-0.0173649
-0.0084841,-0.0170292
-0.00866721,-0.0169377
-0.00866721,-0.0172429
-0.00869773,-0.0172123
-0.00866721,-0.017426
-0.00869773,-0.0171513
-0.00857566,-0.0173649
-0.00854514,-0.0172429
-0.00854514,-0.0171818
-0.00888084,-0.0171208
-0.00860617,-0.0172734
-0.00836203,-0.0170598
-0.00817892,-0.0172734
-0.00875877,-0.0171818
-0.00866721,-0.0172734
-0.00842306,-0.0173649
-0.00863669,-0.0171818
-0.0084841,-0.0171513
-0.00866721,-0.0171208
-0.00869773,-0.017426
-0.00860617,-0.0172734
-0.00839255,-0.0172123
-0.00845358,-0.0171208
-0.00851462,-0.0171513
-0.00851462,-0.0171818
-0.00863669,-0.0173344
-0.00866721,-0.0172123
-0.00860617,-0.0171818
-0.00836203,-0.0172123
-0.00851462,-0.0174565
-0.00878928,-0.0173649
-0.00866721,-0.0173955
-0.00845358,-0.0170903
-0.0084841,-0.0169377
-0.0088198,-0.0173344
-0.00863669,-0.0174565
-0.00854514,-0.0172123
-0.00863669,-0.0172123
-0.00842306,-0.0171818
-0.00854514,-0.0172734
-0.00894188,-0.0171818
-0.00866721,-0.0172429
-0.00863669,-0.0172734
-0.00891136,-0.0169072
-0.00863669,-0.0170903
-0.00872825,-0.0173344
-0.00872825,-0.0170903
-0.0084841,-0.0170903
-0.00836203,-0.0169377
-0.00857566,-0.0170903
-0.00857566,-0.0169682
-0.00869773,-0.0169072
-0.0084841,-0.0169682
-0.00875877,-0.0172734
-0.00869773,-0.0171513
-0.00878928,-0.0171818
-0.00854514,-0.0171208
-0.00854514,-0.0172429
-0.00875877,-0.0171513
-0.00854514,-0.0172429
-0.00869773,-0.0170598
-0.00875877,-0.0173039
-0.00875877,-0.0171208
-0.00857566,-0.0167851
-0.00863669,-0.0171818
-0.00885032,-0.0170292
-0.00842306,-0.0173039
-0.00854514,-0.0172429
-0.00866721,-0.0170903
-0.00885032,-0.0173955
-0.00854514,-0.0173039
-0.0084841,-0.0171513
-0.00863669,-0.0169682
-0.00863669,-0.0173955
-0.00845358,-0.0173955
-0.00830099,-0.0171513
-0.00863669,-0.0173039
-0.00860617,-0.0170598
-0.00845358,-0.0170292
-0.00875877,-0.0172734
-0.0088198,-0.0169377
-0.00869773,-0.0173344
-0.00878928,-0.0173955
-0.00869773,-0.0172429
-0.00857566,-0.0169682
-0.00888084,-0.0169987
-0.00857566,-0.0171818
-0.00891136,-0.0170292
-0.00878928,-0.0170292
-0.00872825,-0.0171513
-0.00888084,-0.0170292
-0.00878928,-0.0170598
-0.00866721,-0.0173649
-0.00878928,-0.0171208
-0.0088198,-0.0172123
-0.00875877,-0.0170292
-0.00866721,-0.0171818
-0.00872825,-0.0173344
-0.00872825,-0.0173344
-0.00872825,-0.0171513
-0.0088198,-0.0170598
-0.00857566,-0.0170598
-0.00885032,-0.0173344
-0.00891136,-0.0169987
-0.00891136,-0.0167851
-0.00888084,-0.0169377
-0.00885032,-0.0170903
-0.00863669,-0.0170292
-0.00857566,-0.0169987
-0.00888084,-0.0170292
-0.00894188,-0.0169377
-0.00866721,-0.0171513
-0.00866721,-0.0170598
-0.00875877,-0.0169987
-0.00897239,-0.0171818
-0.00854514,-0.0170903
-0.0088198,-0.0166935
-0.00888084,-0.0170598
-0.00885032,-0.0173039
-0.00869773,-0.0172123
-0.00842306,-0.0171513
-0.00860617,-0.0171513
-0.00857566,-0.0169682
-0.00860617,-0.0173039
-0.00863669,-0.0172429
-0.00885032,-0.0171208
-0.00872825,-0.0170903
-0.00869773,-0.0171818
-0.00854514,-0.0169987
-0.00888084,-0.0170903
-0.00869773,-0.0169682
-0.00875877,-0.0167851
-0.00878928,-0.0172123
-0.00875877,-0.0172123
-0.00897239,-0.0169682
-0.00854514,-0.0173039
